#DR2Name,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,RPlx,pmRA,e_pmRA,pmDE,e_pmDE,NgAL,chi2AL,Nper,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E(BP-RP),Rad,Lum,RAJ2000,DEJ2000
Gaia DR2 613075249718020736,147.450785,0.0499,11.106124,0.0559,6.13075249718021E+17,22.7076,0.056,405.2343,-304.102,0.1,-70.365,0.098,97,269.68,7,0,20497000,18062.0,7.4092,0.001,10850000,40653.0,7.7628,0.0041,13422000,132780.0,6.9424,0.0107,0.8205,16.43,13.46,5810.67,0.1513,0.084,1.24,1.567,147.452119,11.106427
Gaia DR2 1177532908459199488,216.024305,0.0675,11.24696,0.0702,1.1775329084592E+18,26.2866,0.0979,268.6319,65.592,0.146,-0.868,0.108,130,171.4,7,0,23192000,15071.0,7.275,7E-04,12800000,26853.0,7.5833,0.0023,14609000,47942.0,6.8504,0.0036,0.733,-0.05,0.92,5913.55,0.0255,0.0105,1.09,1.316,216.024017,11.246964
Gaia DR2 602079652404802688,129.961153,0.0426,11.520517,0.0301,6.02079652404803E+17,54.1593,0.0508,1066.4861,-109.25,0.089,-500.555,0.058,419,655.5,13,1,21716000,2631.2,7.3464,1E-04,10316000,6036.6,7.8176,6E-04,15965000,14076.0,6.754,0.001,1.0636,-11.88,0.15,5039.17,0.1417,0.084,0.74,0.32,129.961633,11.522672
Gaia DR2 3352152743956693376,99.390922,0.0415,12.179334,0.0411,3.35215274395669E+18,37.4978,0.0482,777.9772,-74.798,0.082,-284.085,0.073,130,292.78,11,0,41138000,13947.0,6.6528,4E-04,21118000,40257.0,7.0398,0.0021,27573000,106400.0,6.1607,0.0042,0.8791,49.53,0.14,5618.0,0.1755,0.09,1.14,1.169,99.391252,12.180557
Gaia DR2 3340966243931480448,82.215552,0.1907,12.549909,0.1473,3.34096624393148E+18,33.7239,0.1964,171.742,84.999,0.37,-214.95,0.259,143,2433.82,10,0,43987000,9506.1,6.58,2E-04,24131000,34148.0,6.895,0.0015,27828000,38349.0,6.1507,0.0015,0.7443,10.22,0.26,5989.87,0.034,0.016,1.14,1.511,82.215177,12.550835
Gaia DR2 3886688327612984704,154.587496,0.0471,12.620939,0.0367,3.88668832761298E+18,31.211,0.0511,611.2357,-272.38,0.09,-39.416,0.073,115,290.01,8,0,33735000,10520.0,6.8682,3E-04,18324000,34152.0,7.1938,0.002,21216000,102370.0,6.4453,0.0052,0.7485,23.29,0.19,5977.75,0.0753,0.0445,1.08,1.354,154.588698,12.621109
Gaia DR2 2733790256348020608,334.316842,0.0523,12.898915,0.0468,2.73379025634802E+18,32.6903,0.0516,633.6416,850.124,0.08,98.643,0.077,114,247.64,8,0,33279000,7336.5,6.8829,2E-04,17955000,26697.0,7.2159,0.0016,21430000,45805.0,6.4344,0.0023,0.7816,-25.39,0.18,5883.5,0.0343,0.019,1.06,1.223,334.313088,12.89849
Gaia DR2 1761037029171296000,311.907894,0.0347,12.986401,0.033,1.7610370291713E+18,24.7745,0.0428,578.4565,23.028,0.066,36.737,0.052,389,725.88,13,1,23080000,3131.1,7.2803,1E-04,12523000,10503.0,7.6071,9E-04,14851000,16317.0,6.8325,0.0012,0.7746,-33.17,0.13,5820.1,0.113,0.0567,1.2,1.481,311.907793,12.986243
Gaia DR2 3353254695123859456,103.662565,0.0894,13.175832,0.0742,3.35325469512386E+18,33.3308,0.0847,393.4725,89.234,0.207,-77.171,0.153,70,125.08,7,0,19232000,11612.0,7.4783,7E-04,10037000,54891.0,7.8474,0.0059,13025000,80331.0,6.975,0.0067,0.8724,,,5582.71,0.118,0.059,0.89,0.694,103.66217,13.176164
Gaia DR2 4464207428577214464,243.327612,0.0241,13.526227,0.0204,4.46420742857721E+18,41.2592,0.0352,1173.2627,193.921,0.046,-422.524,0.037,285,523.39,15,0,23785000,4027.6,7.2476,2E-04,11936000,13691.0,7.6593,0.0012,16527000,32087.0,6.7164,0.0021,0.9428,18.51,0.17,5462.67,0.0945,0.042,0.84,0.566,243.326754,13.528046
Gaia DR2 4508601275714721152,278.0441,0.0288,13.737092,0.0367,4.50860127571472E+18,38.2327,0.0387,988.8207,112.414,0.062,122.644,0.073,208,311.44,12,0,29301000,6214.7,7.0211,2E-04,15258000,21298.0,7.3926,0.0015,19519000,29600.0,6.5358,0.0016,0.8568,-46.27,0.17,5667.33,0.017,0.009,0.93,0.798,278.043602,13.736564
Gaia DR2 3968325657226210048,166.899217,0.0408,13.859267,0.0309,3.96832565722621E+18,20.0396,0.0408,491.6944,-364.528,0.087,103.705,0.066,151,357.15,10,0,25478000,7507.1,7.173,3E-04,14105000,27724.0,7.478,0.0021,15716000,50257.0,6.7711,0.0035,0.7069,36.16,0.17,6140.0,0.132,0.068,1.39,2.467,166.900833,13.858821
Gaia DR2 3391729905511044864,75.584553,0.0564,13.909801,0.0365,3.39172990551104E+18,26.9221,0.0548,491.5727,-11.02,0.113,-101.543,0.069,163,354.3,10,0,21429000,5132.2,7.3609,3E-04,11654000,13542.0,7.6852,0.0013,13786000,20859.0,6.9133,0.0016,0.7718,28.06,0.15,5939.1,0.0492,0.0262,1.02,1.158,75.584602,13.910238
Gaia DR2 2815542965962559488,347.48738,0.0454,14.426186,0.0379,2.81554296596256E+18,39.7915,0.0561,708.6874,-120.665,0.087,-85.656,0.076,124,458.95,7,0,52033000,36405.0,6.3977,8E-04,28053000,73297.0,6.7314,0.0028,33459000,62199.0,5.9506,0.002,0.7808,-18.37,8.28,5886.0,0.109,0.048,1.09,1.29,347.487916,14.426554
Gaia DR2 2815678171532956288,346.381536,0.0488,14.452065,0.0315,2.81567817153296E+18,25.0443,0.0522,480.0889,386.399,0.109,91.05,0.059,141,290.52,8,0,31346000,7269.6,6.9479,3E-04,17042000,26093.0,7.2726,0.0017,19882000,33085.0,6.5158,0.0018,0.7568,-49.34,0.25,5952.5,0.1925,0.106,1.32,1.956,346.379818,14.451673
Gaia DR2 1772187382746856320,326.131571,0.0507,14.771452,0.0523,1.77218738274686E+18,55.1631,0.0608,907.6346,231.086,0.103,-113.134,0.099,145,715.45,9,0,89329000,108850.0,5.8109,0.0013,48388000,335530.0,6.1395,0.0075,57000000,149780.0,5.3722,0.0029,0.7673,-17.18,0.17,5955.0,0.06,0.03,1.01,1.149,326.130542,14.77194
Gaia DR2 4501418784715701248,269.695445,0.0261,14.84292,0.0309,4.5014187847157E+18,19.5801,0.0343,570.0967,-39.615,0.058,-114.609,0.058,204,413.41,12,0,28146000,6984.5,7.0648,3E-04,15640000,37573.0,7.3658,0.0026,17424000,35858.0,6.659,0.0022,0.7068,-1.88,0.19,6111.67,0.351,0.179,1.51,2.857,269.695621,14.843414
